Cooperativa;Estabelecimentos;Area_plantada_ha;Area_colhida_ha;Pes_colhidos;Estabelecimentos;Pes_existentes;Qtd_produzida_ton;Valor_produzido;Qtd_vendida_ton;Valor_vendido
Sim;2251;21443;19884;14508887;2001;16333536;6750;49165000;6662;48539000
Nao;84685;414982;373043;257762087;70481;300147089;80004;557134000;77186;537909000
